date,pm25
8/27/2019 11:17:06 AM,4.333333333333333
8/27/2019 11:17:24 AM,5
8/27/2019 11:17:42 AM,5.5
8/27/2019 11:18:00 AM,4.5
8/27/2019 11:18:18 AM,5.333333333333333
8/27/2019 11:18:36 AM,6
8/27/2019 11:19:12 AM,5.666666666666667
8/27/2019 11:19:30 AM,5.333333333333333
8/27/2019 11:19:48 AM,4.666666666666667
8/27/2019 11:20:06 AM,5
8/27/2019 11:20:24 AM,4
8/27/2019 11:20:42 AM,4.333333333333333
8/27/2019 11:21:00 AM,5.666666666666667
8/27/2019 11:21:18 AM,5.666666666666667
8/27/2019 11:21:36 AM,5
8/27/2019 11:21:54 AM,5.666666666666667
8/27/2019 11:22:12 AM,7
8/27/2019 11:22:30 AM,6
8/27/2019 11:22:48 AM,6.333333333333333
8/27/2019 11:23:06 AM,6.333333333333333
8/27/2019 11:23:24 AM,5
8/27/2019 11:23:42 AM,5
8/27/2019 11:24:00 AM,6.333333333333333
8/27/2019 11:24:18 AM,6.333333333333333
8/27/2019 11:24:36 AM,6
8/27/2019 11:24:54 AM,6.333333333333333
8/27/2019 11:25:12 AM,6
8/27/2019 11:25:30 AM,6
8/27/2019 11:25:48 AM,5.666666666666667
8/27/2019 11:26:06 AM,5.5
8/27/2019 11:26:24 AM,5.5
8/27/2019 11:26:42 AM,6
8/27/2019 11:27:00 AM,6
8/27/2019 11:27:18 AM,6
8/27/2019 11:27:36 AM,6
8/27/2019 11:27:54 AM,5.666666666666667
8/27/2019 11:28:12 AM,7
8/27/2019 11:28:30 AM,6.333333333333333
8/27/2019 11:28:48 AM,7
8/27/2019 11:29:06 AM,6.666666666666667
8/27/2019 11:29:24 AM,6.333333333333333
8/27/2019 11:29:42 AM,5.333333333333333
8/27/2019 11:30:00 AM,6.333333333333333
8/27/2019 11:30:18 AM,7.333333333333333
8/27/2019 11:30:36 AM,6.5
8/27/2019 11:30:54 AM,5
8/27/2019 11:31:12 AM,5.333333333333333
8/27/2019 11:31:30 AM,5
8/27/2019 11:31:48 AM,6
8/27/2019 11:32:06 AM,7
8/27/2019 11:32:24 AM,5.5
8/27/2019 11:32:42 AM,5.333333333333333
8/27/2019 11:33:00 AM,5
8/27/2019 11:33:18 AM,3.6666666666666665
8/27/2019 11:33:36 AM,3
8/27/2019 11:33:54 AM,4.333333333333333
8/27/2019 11:34:12 AM,3.3333333333333335
8/27/2019 11:34:30 AM,4.333333333333333
8/27/2019 11:34:48 AM,3.5
8/27/2019 11:35:24 AM,3
8/27/2019 11:35:42 AM,3.3333333333333335
8/27/2019 11:36:00 AM,3
8/27/2019 11:36:18 AM,4.333333333333333
8/27/2019 11:36:36 AM,4
8/27/2019 11:36:54 AM,5
8/27/2019 11:37:12 AM,4.5
8/27/2019 11:37:30 AM,2.75
8/27/2019 11:37:48 AM,3
